,,,,mae,mae,rmse,rmse,r2,r2,spearman,spearman
,,,,mean,std,mean,std,mean,std,mean,std
analysis,domain,model,group,,,,,,,,
area,synthetic,residual_full,synthetic,0.05840137403756039,0.016722941619469783,0.14103756838522935,0.03122763772246831,0.756009383050836,0.09952385150992048,0.7455394868068835,0.1281534579165668
area,synthetic,residual_no_coordinates,synthetic,0.05382491826272488,0.01320193835429387,0.14247990836655897,0.03711026638004683,0.7392125589986642,0.15910766492447215,0.7920024940940994,0.05611373614465302
area,synthetic,residual_no_fiedler,synthetic,0.05707832756114454,0.011055264522534886,0.13874332224839983,0.03040122348903634,0.7678240406376041,0.07095573554759751,0.7823360894196691,0.046100621610368646
area,synthetic,spectral,synthetic,0.10675135951309889,0.03428768087419288,0.2829871097071166,0.057427141643085135,0.0631157716009689,0.07688190202536764,0.877829520392775,0.04651747537381569
area,synthetic,summary_mlp,synthetic,0.08658699886018564,0.0224481376518608,0.18330605856194096,0.03984404765545515,0.6077761272939451,0.050051128172524065,0.5183350016316726,0.10589506289451431
clip_group,osm,deepsets,not_clipped,0.12865980525158896,0.016964030268442794,0.26454622203770245,0.020719270665303637,0.6657454556992148,0.05528128275104334,0.7907868330204408,0.01678313309335933
clip_group,osm,direct_full,not_clipped,0.10403809133560371,0.027443713304046234,0.263903857970294,0.044233238273830654,0.6624521018974561,0.12091039509674302,0.8528805555395363,0.03882662132771159
clip_group,osm,direct_no_coordinates,not_clipped,0.1044305142411683,0.02173592395482911,0.2667024107813732,0.03351807783704855,0.6582191644302573,0.08773895542811817,0.8734142488804449,0.029340651377454
clip_group,osm,direct_no_fiedler,not_clipped,0.09476069546697927,0.007749417015790694,0.25312614527063626,0.015178065294221514,0.6949968522158755,0.03700251885898505,0.8689520547459841,0.023701374484239552
clip_group,osm,residual_full,not_clipped,0.09373838795133885,0.0209173017268436,0.2526855787809396,0.03354082003733963,0.6929138072761786,0.08569808868468713,0.9029492598903539,0.014265093011298762
clip_group,osm,residual_no_coordinates,not_clipped,0.09613228974908761,0.017896620527516015,0.25825565980231485,0.030391372077116195,0.6796012896662061,0.08057420981635732,0.9013921559532212,0.013558674794694517
clip_group,osm,residual_no_fiedler,not_clipped,0.08704358491844734,0.006455343526725624,0.24090569420921382,0.008491277858991217,0.7243183713204056,0.018140163361361896,0.8995672153747585,0.020403932807925015
clip_group,osm,spectral,not_clipped,0.5759411769790805,0.01071316814945222,0.7317104609459324,0.007784761901183955,-1.5419075777553382,0.0717037959552725,0.33153002436150086,0.01969134500679876
clip_group,osm,summary_mlp,not_clipped,0.3138731014816829,0.07554551294683322,0.4528430048085029,0.0980534177157728,-0.008396740732279473,0.41004121934351667,0.8112470628652027,0.019752498329977886
clip_group,synthetic,deepsets,not_clipped,0.0863602868942354,0.015261467932255928,0.18153533611367093,0.04061534344413594,0.6152426136640619,0.04960660977756041,0.3954711384350217,0.1069950237058113
clip_group,synthetic,direct_full,not_clipped,0.07904372464517279,0.01583805673441773,0.17643352138151597,0.03906331040122383,0.5983561010659452,0.23595108581602764,0.5491160320858313,0.10975528453861978
clip_group,synthetic,direct_no_coordinates,not_clipped,0.07112964741807257,0.00963236484973647,0.16047345166601626,0.023791608924056875,0.6897023446393359,0.05715239604173964,0.6171311550016113,0.06999031662093799
clip_group,synthetic,direct_no_fiedler,not_clipped,0.08100746050652743,0.020461944969686265,0.17217550936700837,0.047328385184740106,0.6047475993555215,0.2861861738113123,0.6159232314566927,0.0613800836883873
clip_group,synthetic,residual_full,not_clipped,0.05840137403756039,0.016722941619469783,0.14103756838522935,0.03122763772246831,0.756009383050836,0.09952385150992048,0.7455394868068835,0.1281534579165668
clip_group,synthetic,residual_no_coordinates,not_clipped,0.05382491826272488,0.01320193835429387,0.14247990836655897,0.03711026638004683,0.7392125589986642,0.15910766492447215,0.7920024940940994,0.05611373614465302
clip_group,synthetic,residual_no_fiedler,not_clipped,0.05707832756114454,0.011055264522534886,0.13874332224839983,0.03040122348903634,0.7678240406376041,0.07095573554759751,0.7823360894196691,0.046100621610368646
clip_group,synthetic,spectral,not_clipped,0.10675135951309889,0.03428768087419288,0.2829871097071166,0.057427141643085135,0.0631157716009689,0.07688190202536764,0.877829520392775,0.04651747537381569
clip_group,synthetic,summary_mlp,not_clipped,0.08658699886018564,0.0224481376518608,0.18330605856194096,0.03984404765545515,0.6077761272939451,0.050051128172524065,0.5183350016316726,0.10589506289451431
connectivity_group,osm,deepsets,connected,0.08991623052474874,0.010795243048149489,0.15240224024032512,0.01395788429904579,-0.051319767468892906,0.16620149878708174,0.31837981368312385,0.062053401144781396
connectivity_group,osm,deepsets,disconnected,0.15898457371896083,0.024445888219219943,0.3265103396050333,0.027082843765427994,,,0.0,0.0
connectivity_group,osm,direct_full,connected,0.08086722575860135,0.009221350662680518,0.15698388779799108,0.011869814065894433,-0.10761918683698815,0.034390303075168556,0.5577058593311042,0.1473965160899629
connectivity_group,osm,direct_full,disconnected,0.12230273861188579,0.05109651695830248,0.32306656380094284,0.06552342882887037,,,0.0,0.0
