seed,domain,model,group,mae,rmse,r2,spearman,analysis
11,osm,residual_no_fiedler,Q3,0.04456412829034195,0.1466731656866386,0.9016680490193925,0.9540019565526712,density_quartile
11,osm,residual_no_fiedler,Q4,0.1943265907970603,0.39153180359593515,-0.8356413885742702,0.658535424895918,density_quartile
11,osm,spectral,Q1,0.3790713666236681,0.5911658993052707,-0.6820601932420154,0.3904027337191762,density_quartile
11,osm,spectral,Q2,0.5937396278840772,0.7450902780625442,-1.6954636835350003,0.2578495629120586,density_quartile
11,osm,spectral,Q3,0.6058248775406618,0.7573783460590703,-1.7591576993735059,0.18789751595383716,density_quartile
11,osm,spectral,Q4,0.6161215313093458,0.7510745363578009,-1.8834630723603025,0.3465052293335853,density_quartile
11,osm,summary_mlp,Q1,0.35847627470591015,0.5496932676206993,-0.45433220184769296,0.7675211821438765,density_quartile
11,osm,summary_mlp,Q2,0.5335096469733515,0.6639198021535215,-1.1401634146742925,0.8477528765936951,density_quartile
11,osm,summary_mlp,Q3,0.5100011305570064,0.6341115477880288,-0.9341140474258203,0.8336118362769512,density_quartile
11,osm,summary_mlp,Q4,0.2777426230236923,0.428248629847893,0.06256690556511335,0.8157793608350927,density_quartile
11,synthetic,deepsets,Q1,0.08886893233871045,0.1978951491839493,0.6714323641200864,0.6152673407038158,density_quartile
11,synthetic,deepsets,Q2,0.06029999577908386,0.11028357160538843,0.6694167358132896,0.46360744110393914,density_quartile
11,synthetic,deepsets,Q3,0.06810651240316962,0.159907202977135,0.4798233232351903,0.45598532914696477,density_quartile
11,synthetic,deepsets,Q4,0.047523023322064165,0.0751346343142594,0.6994466660795225,0.4803534715360609,density_quartile
11,synthetic,direct_full,Q1,0.09382279233462482,0.21473562965143755,0.6131320918812244,0.7384668348362943,density_quartile
11,synthetic,direct_full,Q2,0.0756736439922663,0.1497875964800709,0.3901669988134574,0.6409458445636166,density_quartile
11,synthetic,direct_full,Q3,0.1586279191654186,0.34158010568192393,-1.3735586045236476,0.6285984226668273,density_quartile
11,synthetic,direct_full,Q4,0.04095161468121843,0.052495498918378354,0.8532813470474553,0.5467933755696343,density_quartile
11,synthetic,direct_no_coordinates,Q1,0.07610798311996188,0.1741449232456885,0.7455654282075379,0.7276954393485193,density_quartile
11,synthetic,direct_no_coordinates,Q2,0.05900453877367972,0.10650794487746962,0.6916647141818452,0.6367223318236126,density_quartile
11,synthetic,direct_no_coordinates,Q3,0.1022688808807493,0.2033433002653634,0.15884785293436132,0.6317661452459105,density_quartile
11,synthetic,direct_no_coordinates,Q4,0.040182214043354994,0.06324916217704385,0.7870141507756153,0.5545181727242414,density_quartile
11,synthetic,direct_no_fiedler,Q1,0.10771191097628649,0.24668782688443622,0.4894363124104947,0.7383833356464666,density_quartile
11,synthetic,direct_no_fiedler,Q2,0.07093472845180339,0.115193920630866,0.6393230919520031,0.6408902720275639,density_quartile
11,synthetic,direct_no_fiedler,Q3,0.17987311317705248,0.3589398897417627,-1.6209472010872825,0.6297742277092679,density_quartile
11,synthetic,direct_no_fiedler,Q4,0.046054319697749264,0.05573867603804788,0.8345927683286744,0.549071912859842,density_quartile
11,synthetic,residual_full,Q1,0.08737390061528488,0.2160664656000425,0.6083219618629392,0.7113854263785574,density_quartile
11,synthetic,residual_full,Q2,0.050592949738088616,0.08987235933185177,0.7804610896343462,0.7917746622979829,density_quartile
11,synthetic,residual_full,Q3,0.0942616887952807,0.18041130979832132,0.33787140931429205,0.5414460515462917,density_quartile
11,synthetic,residual_full,Q4,0.05668571483790682,0.08064854069195668,0.6537145671284887,0.2921839074746096,density_quartile
11,synthetic,residual_no_coordinates,Q1,0.060874318328770244,0.1740403352547979,0.7458709531602177,0.7971072853286686,density_quartile
11,synthetic,residual_no_coordinates,Q2,0.05199076504076257,0.09019020486875097,0.77890548665419,0.7804999304903725,density_quartile
11,synthetic,residual_no_coordinates,Q3,0.11738904994513208,0.2870997520770435,-0.6767968790543215,0.6978342218452659,density_quartile
11,synthetic,residual_no_coordinates,Q4,0.027366695791102333,0.043930517358269805,0.8972518924794264,0.7034494302083654,density_quartile
11,synthetic,residual_no_fiedler,Q1,0.06288635535985246,0.1706719921829796,0.7556124931711589,0.8245728121496095,density_quartile
11,synthetic,residual_no_fiedler,Q2,0.05518076493554001,0.09556126446525859,0.7517878743427716,0.8096098344052779,density_quartile
11,synthetic,residual_no_fiedler,Q3,0.07086455963622386,0.1854327334569627,0.3005001549949827,0.73026900957616,density_quartile
11,synthetic,residual_no_fiedler,Q4,0.03138788678658394,0.04689359660206846,0.8829238905330441,0.6879204223700397,density_quartile
11,synthetic,spectral,Q1,0.15219021900846438,0.3691323892399632,-0.14319098903161143,0.7678253773462052,density_quartile
11,synthetic,spectral,Q2,0.0756918738274837,0.20074224991132789,-0.09530934556213899,0.7644451854750718,density_quartile
11,synthetic,spectral,Q3,0.0494855987127543,0.1781363253822308,0.3544649899654977,0.9547071260713843,density_quartile
11,synthetic,spectral,Q4,0.027315062702039546,0.0575910229594514,0.8234162313606144,0.9628209403134377,density_quartile
11,synthetic,summary_mlp,Q1,0.09209347528949788,0.18384238724966237,0.716439465176792,0.629834049044977,density_quartile
11,synthetic,summary_mlp,Q2,0.055871761353683456,0.09960392223957341,0.7303427510163798,0.5336834354979538,density_quartile
11,synthetic,summary_mlp,Q3,0.06244494651257412,0.1870407434528816,0.2883159016921669,0.6730021128543258,density_quartile
11,synthetic,summary_mlp,Q4,0.029528728320005762,0.045885794022777066,0.887902042808959,0.5432922085139491,density_quartile
22,osm,deepsets,Q1,0.14759710280225133,0.267885407050957,0.6630896119662868,0.6983687639738714,density_quartile
22,osm,deepsets,Q2,0.1467069919922173,0.28965432703115157,0.5496792483649808,0.8290659191247709,density_quartile
22,osm,deepsets,Q3,0.10695117791780025,0.23146305260135755,0.7527060520109186,0.8238523669802618,density_quartile
22,osm,deepsets,Q4,0.18046612112625737,0.3488996868588626,-0.00809420410462236,0.6509202753415345,density_quartile
22,osm,direct_full,Q1,0.08834001857138915,0.23388604959690004,0.7436755320611018,0.8882170295911757,density_quartile
22,osm,direct_full,Q2,0.05520578913247396,0.18012537100804324,0.8453877435713657,0.8833060141563756,density_quartile
22,osm,direct_full,Q3,0.03524897454915466,0.0921124593829757,0.9582214731427704,0.8709624857220954,density_quartile
22,osm,direct_full,Q4,0.17848521349867752,0.3758427536508634,-0.7979500910618629,0.6660691655096379,density_quartile
22,osm,direct_no_coordinates,Q1,0.08596205014110157,0.2264590512629992,0.7587103557490076,0.8477490317868085,density_quartile
22,osm,direct_no_coordinates,Q2,0.07609470058485228,0.22328305877906443,0.7489183254803663,0.9138767223743803,density_quartile
