area,country,nodes,edges,seed,failure_mode,model,mae,n,eigengap
bangkok,Thailand,1072.0,1457.0,55,spatial_cluster,direct_edge_mpnn,0.011194191604180202,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,55,spatial_cluster,direct_full,0.009378815033731929,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,55,spatial_cluster,direct_sage,0.050759549216626156,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,55,spatial_cluster,residual_edge_mpnn,0.8012635877716561,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,55,spatial_cluster,residual_full,0.0054840557317380155,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,55,spatial_cluster,residual_sage,0.0011378813080695099,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,55,spatial_cluster,spectral,0.798606747898426,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,55,spatial_cluster,spectral_second_order,0.7984353080910627,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,55,targeted,direct_edge_mpnn,0.18529059829864408,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,55,targeted,direct_full,0.16953308765080616,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,55,targeted,direct_sage,0.2801657516347624,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,55,targeted,residual_edge_mpnn,0.327397218083366,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,55,targeted,residual_full,0.17178877146668659,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,55,targeted,residual_sage,0.1678596326020632,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,55,targeted,spectral,0.3130447468614344,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,55,targeted,spectral_second_order,0.3124863628023492,20,0.5923173656377744
cantho,Vietnam,114.0,178.0,11,independent,direct_edge_mpnn,0.08560719420914428,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,11,independent,direct_full,0.07061446768435464,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,11,independent,direct_sage,0.07974634009623902,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,11,independent,residual_edge_mpnn,0.0691854998528698,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,11,independent,residual_full,0.02974640683506588,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,11,independent,residual_sage,0.05642240724127029,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,11,independent,spectral,0.2949256092668459,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,11,independent,spectral_second_order,0.292265441958958,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,11,spatial_cluster,direct_edge_mpnn,0.04543635096727354,20,1.1845383241700216
cantho,Vietnam,114.0,178.0,11,spatial_cluster,direct_full,0.03622760582712947,20,1.1845383241700216
